latitude,longitude,altitude (m),date,time
34.021526,-118.288752,90.12919518072158,2024-04-16,15:55:47
34.021566,-118.288890,91.4642141405493,2024-04-16,15:55:50
34.021470,-118.288567,92.40057468786836,2024-04-16,15:55:54
34.021553,-118.288315,91.63135995343328,2024-04-16,15:56:01
34.021452,-118.288464,91.29162885062397,2024-04-16,15:56:26
34.021578,-118.288401,91.90533726289868,2024-04-16,15:56:37
34.021503,-118.288488,91.72100736759603,2024-04-16,15:56:42
34.021594,-118.288463,91.78886562027037,2024-04-16,15:56:43
34.021560,-118.288531,93.04319773428142,2024-04-16,15:57:01
34.021578,-118.288662,93.90022918581963,2024-04-16,15:57:30
34.021656,-118.288791,94.71893250755966,2024-04-16,15:57:34
34.021700,-118.288915,95.14829721860588,2024-04-16,15:57:35
34.021684,-118.289025,94.99454752635211,2024-04-16,15:57:39
34.021624,-118.289110,95.14341330807656,2024-04-16,15:57:40
34.021548,-118.289003,94.99255377985537,2024-04-16,15:57:52
34.021516,-118.288871,95.75670640170574,2024-04-16,15:57:54
34.021528,-118.288764,96.11061754636467,2024-04-16,15:57:56
34.021528,-118.288794,95.85625337157398,2024-04-16,15:58:03
34.021575,-118.288888,97.39586393535137,2024-04-16,15:58:13
34.021599,-118.288761,97.13520633429289,2024-04-16,15:58:45
34.021564,-118.288623,98.56603171210736,2024-04-16,15:59:29
34.021673,-118.288653,101.39173414744437,2024-04-16,16:01:01
34.021594,-118.288708,103.28399620670825,2024-04-16,16:01:05
34.021721,-118.288666,105.72207462694496,2024-04-16,16:01:32
34.021641,-118.288768,106.94799658376724,2024-04-16,16:01:36
34.021546,-118.288658,108.09869866631925,2024-04-16,16:01:43
34.021499,-118.288777,108.93933623470366,2024-04-16,16:02:11
34.021527,-118.288903,108.58218118175864,2024-04-16,16:02:15
34.021582,-118.289018,108.65152542479336,2024-04-16,16:02:16
34.021607,-118.289134,108.8442251123488,2024-04-16,16:02:17
34.021689,-118.289089,108.51551606692374,2024-04-16,16:02:20
34.021551,-118.289181,108.0770263588056,2024-04-16,16:02:22
34.021646,-118.289197,106.8615956408903,2024-04-16,16:02:28
34.021683,-118.289318,106.22123072855175,2024-04-16,16:02:32
34.021723,-118.289206,106.88283155113459,2024-04-16,16:02:34
34.021726,-118.289089,107.43376642186195,2024-04-16,16:02:46
34.021564,-118.289206,106.31397388968617,2024-04-16,16:02:51
34.021582,-118.289015,106.79695427324623,2024-04-16,16:02:53
34.021506,-118.289140,106.0256015388295,2024-04-16,16:02:57
34.021637,-118.289116,106.17594280373305,2024-04-16,16:03:02
34.021667,-118.289231,106.36740248743445,2024-04-16,16:03:06
34.021746,-118.289174,107.15884575340897,2024-04-16,16:03:10
34.021663,-118.289226,107.1599196549505,2024-04-16,16:03:11
34.021579,-118.289315,107.13896626792848,2024-04-16,16:03:21
34.021706,-118.289122,109.62059412244707,2024-04-16,16:03:34
34.021645,-118.289232,109.6767825325951,2024-04-16,16:03:40
34.021725,-118.289125,110.47244984190911,2024-04-16,16:03:41
34.021693,-118.289253,110.97586856968701,2024-04-16,16:03:43
34.021699,-118.289120,111.77010154910386,2024-04-16,16:03:51
34.021586,-118.289151,111.21512306015939,2024-04-16,16:03:52
34.021613,-118.289011,111.65453100670129,2024-04-16,16:03:53
34.021642,-118.288111,114.16516632959247,2024-04-16,16:03:56
34.021381,-118.288077,113.60980875138193,2024-04-16,16:03:58
34.021443,-118.288166,114.84251590911299,2024-04-16,16:04:02
34.021488,-118.288260,115.37522145733237,2024-04-16,16:04:03
34.021504,-118.288391,115.48087964765728,2024-04-16,16:04:04
34.021557,-118.288527,116.14884978998452,2024-04-16,16:04:05
34.021677,-118.288689,116.12513161730021,2024-04-16,16:04:07
34.021727,-118.288803,116.1156717967242,2024-04-16,16:04:08
34.021757,-118.288943,116.34252622909844,2024-04-16,16:04:10
34.021752,-118.288934,115.82985841110349,2024-04-16,16:04:24
34.021876,-118.288784,115.54221626650542,2024-04-16,16:04:36
34.021947,-118.288909,115.82564323861152,2024-04-16,16:04:37
34.022041,-118.289054,116.0602882290259,2024-04-16,16:04:39
34.021929,-118.288998,116.18853173125535,2024-04-16,16:04:40
34.021826,-118.289055,116.24139607511461,2024-04-16,16:04:41
34.021791,-118.288954,115.48084005154669,2024-04-16,16:04:54
34.021712,-118.288829,113.92561467643827,2024-04-16,16:05:13
34.021579,-118.288739,110.77344274148345,2024-04-16,16:05:45
34.021488,-118.288955,104.92940375115722,2024-04-16,16:06:18
34.021587,-118.288925,90.91328473668545,2024-04-16,16:10:06
34.021641,-118.289020,92.97704868856817,2024-04-16,16:10:39
34.021675,-118.289131,95.52099799271673,2024-04-16,16:10:45
34.021747,-118.288989,98.7114688726142,2024-04-16,16:10:49
34.021590,-118.288948,102.50323566608131,2024-04-16,16:12:17
34.021847,-118.288836,107.31205317471176,2024-04-16,16:14:55
34.022345,-118.288699,56.19767075125128,2024-04-16,16:25:39
34.022260,-118.288747,56.28683330304921,2024-04-16,16:25:42
34.021970,-118.288761,55.995482947677374,2024-04-16,16:25:44
34.021837,-118.288590,55.99003668501973,2024-04-16,16:25:49
34.021502,-118.288684,56.08532451745123,2024-04-16,16:25:51
34.021418,-118.288615,56.57658136356622,2024-04-16,16:25:56
34.021362,-118.288459,56.56992692966014,2024-04-16,16:26:03
34.021384,-118.288629,56.91475592087954,2024-04-16,16:26:19
34.021341,-118.288512,56.734770245850086,2024-04-16,16:26:30
34.021523,-118.288875,57.092406179755926,2024-04-16,16:26:59
34.021546,-118.288746,56.25434678513557,2024-04-16,16:27:29
